longitude,latitude,elevation
-123.00136,38.715741,82.0
-123.001366,38.715745,82.1
-123.001371,38.715749,82.2
-123.001376,38.715753,82.2
-123.001382,38.715755,82.3
-123.001385,38.715759,82.3
-123.00139,38.715763,82.3
-123.001396,38.715767,82.4
-123.001399,38.715768,82.4
-123.001402,38.715771,82.5
-123.001406,38.715773,82.5
-123.001413,38.715776,82.6
-123.001422,38.715778,82.6
-123.001427,38.715781,82.7
-123.001433,38.715782,82.7
-123.001437,38.715784,82.7
-123.00144,38.715782,82.8
-123.001444,38.71578,82.8
-123.001449,38.715776,82.9
-123.001454,38.715773,82.9
-123.001461,38.71577,83.0
-123.001469,38.715767,83.0
-123.001474,38.715768,83.1
-123.001478,38.715768,83.1
-123.001482,38.715767,83.1
-123.001486,38.715767,83.2
-123.001489,38.715767,83.2
-123.00149,38.715764,83.2
-123.001493,38.715764,83.3
-123.001494,38.715764,83.3
-123.001496,38.715763,83.3
-123.001498,38.715762,83.3
-123.001498,38.715761,83.3
-123.0015,38.71576,83.3
-123.001503,38.715759,83.4
-123.001507,38.715762,83.4
-123.001509,38.715764,83.4
-123.00151,38.715766,83.4
-123.00151,38.715767,83.4
-123.001512,38.715768,83.5
-123.001512,38.715769,83.5
-123.001515,38.715771,83.5
-123.001521,38.715775,83.6
-123.001526,38.715775,83.6
-123.001531,38.715773,83.7
-123.001537,38.715773,83.7
-123.001542,38.715772,83.7
-123.001548,38.71577,83.8
-123.001553,38.715769,83.8
-123.001561,38.71577,83.9
-123.001568,38.715771,84.0
-123.001576,38.71577,84.1
-123.001585,38.71577,84.1
-123.001594,38.715769,84.2
-123.001602,38.715768,84.3
-123.00161,38.71577,84.4
-123.001619,38.715769,84.5
-123.00163,38.715768,84.6
-123.001637,38.715762,84.7
-123.001644,38.715757,84.8
-123.001652,38.715752,84.9
-123.001656,38.715748,85.0
-123.001662,38.715748,85.1
-123.001669,38.715744,85.2
-123.001673,38.715742,85.2
-123.00168,38.715742,85.3
-123.001684,38.715739,85.4
-123.001691,38.715738,85.5
-123.001699,38.715738,85.6
-123.001707,38.715736,85.7
-123.001718,38.715735,85.9
-123.00173,38.715735,86.0
-123.00174,38.715735,86.2
-123.001749,38.715735,86.3
-123.001759,38.715733,86.5
-123.001766,38.715726,86.7
-123.001768,38.715721,86.8
-123.001769,38.715719,86.8
-123.001765,38.71571,87.0
-123.00176,38.715707,87.1
-123.001754,38.715701,87.3
-123.001749,38.715698,87.4
-123.001742,38.715695,87.6
-123.001734,38.715691,87.7
-123.001725,38.715685,87.9
-123.001714,38.71568,88.2
-123.001703,38.715676,88.4
-123.001695,38.715673,88.5
-123.00169,38.715671,88.6
-123.001684,38.715668,88.8
-123.001677,38.715664,88.9
-123.00167,38.715659,89.1
-123.001659,38.715651,89.3
-123.001648,38.715647,89.6
-123.001639,38.71564,89.8
-123.00163,38.715634,90.0
-123.001621,38.715627,90.2
-123.001612,38.715621,90.4
-123.001604,38.715613,90.6
-123.001596,38.715605,90.9
-123.001588,38.715599,91.1
-123.001579,38.715593,91.3
-123.001572,38.715588,91.4
-123.001564,38.715581,91.6
-123.001558,38.715574,91.8
-123.001552,38.715566,92.0
-123.001546,38.715557,92.3
-123.00154,38.715547,92.5
-123.001536,38.715538,92.7
-123.001533,38.715531,92.9
-123.001529,38.715524,93.0
-123.001524,38.715515,93.3
-123.001517,38.715504,93.6
-123.001509,38.715494,93.8
-123.001504,38.715482,94.1
-123.0015,38.71547,94.4
-123.001497,38.715459,94.7
-123.001494,38.715448,95.0
-123.001492,38.715436,95.3
-123.00149,38.715424,95.5
-123.00149,38.715417,95.7
-123.001487,38.71541,95.8
-123.001488,38.715401,96.0
-123.001487,38.715394,96.2
-123.001484,38.715389,96.3
-123.001484,38.715384,96.4
-123.001485,38.715376,96.5
-123.001486,38.71537,96.6
-123.001486,38.715365,96.7
-123.001488,38.715359,96.9
-123.00149,38.715354,97.0
-123.001494,38.715349,97.1
-123.001496,38.715345,97.1
-123.001499,38.715341,97.2
-123.001503,38.715341,97.2
-123.001503,38.715342,97.2
-123.001507,38.715345,97.3
-123.001514,38.71535,97.4
-123.001519,38.715357,97.5
-123.001528,38.715368,97.7
-123.001539,38.71538,97.9
-123.00155,38.71539,98.1
-123.001564,38.715395,98.2
-123.001585,38.715401,98.4
-123.001604,38.715405,98.5
-123.001628,38.715409,98.7
-123.001651,38.715412,98.9
-123.001677,38.715411,99.0
-123.001701,38.715407,99.2
-123.001723,38.715402,99.4
-123.001741,38.715397,99.5
-123.001759,38.715387,99.6
-123.001779,38.715379,99.8
-123.001801,38.715372,99.9
-123.001818,38.715363,100.1
-123.001835,38.715353,100.2
-123.00185,38.715342,100.3
-123.001864,38.715335,100.4
-123.00188,38.715326,100.5
-123.001895,38.715316,100.6
-123.001909,38.715303,100.7
-123.001921,38.715293,100.8
-123.001934,38.715285,100.9
-123.001948,38.715275,101.0
-123.001965,38.715265,101.1
-123.001979,38.715254,101.2
-123.001994,38.715242,101.4
-123.002012,38.715233,101.6
-123.00203,38.715228,101.8
-123.002047,38.715224,102.0
-123.002062,38.71522,102.2
-123.002079,38.715215,102.4
-123.002095,38.715205,102.7
-123.002107,38.715192,103.0
-123.002122,38.715184,103.3
-123.002136,38.715178,103.5
-123.002151,38.715172,103.8
-123.002168,38.715167,104.1
-123.002182,38.715157,104.4
-123.002197,38.715146,104.8
-123.00221,38.715136,105.1
-123.002218,38.715126,105.4
-123.002218,38.715116,105.6
-123.002209,38.715107,105.9
-123.002197,38.715104,106.1
-123.002184,38.715104,106.3
-123.002171,38.715103,106.6
-123.00216,38.715104,106.8
-123.002145,38.715103,107.0
-123.002131,38.715102,107.3
-123.002119,38.715102,107.5
-123.002104,38.715102,107.8
-123.002091,38.715099,108.0
-123.002082,38.7151,108.2
-123.002072,38.715101,108.4
-123.002062,38.715103,108.6
-123.002052,38.715105,108.7
-123.002043,38.715108,108.9
-123.002032,38.715113,109.1
-123.002021,38.715119,109.3
-123.002011,38.715123,109.5
-123.002001,38.715127,109.7
-123.001988,38.71513,109.9
-123.001974,38.715132,110.1
-123.001961,38.715131,110.3
-123.001948,38.715129,110.5
-123.001937,38.715127,110.7
-123.001926,38.715123,110.8
-123.001916,38.715117,111.0
-123.001908,38.71511,111.2
-123.001902,38.715099,111.3
-123.001902,38.715089,111.5
-123.001903,38.715081,111.6
-123.001905,38.715072,111.7
-123.001913,38.715064,111.8
-123.00192,38.715055,111.9
-123.001929,38.715051,112.0
-123.00194,38.715045,112.1
-123.001952,38.715041,112.3
-123.001967,38.715036,112.4
-123.001981,38.715029,112.5
-123.001992,38.715024,112.6
-123.002003,38.715012,112.8
-123.002014,38.715002,113.0
-123.002026,38.714994,113.1
-123.002037,38.714989,113.3
-123.002049,38.714986,113.4
-123.00206,38.714984,113.5
-123.002075,38.714982,113.7
-123.00209,38.714978,113.9
-123.002108,38.714974,114.1
-123.002122,38.71497,114.4
-123.002136,38.714963,114.6
-123.002151,38.714956,114.8
-123.002165,38.714949,115.1
-123.002178,38.714942,115.4
-123.002189,38.714936,115.6
-123.002199,38.714932,115.7
-123.002208,38.714928,115.9
-123.002215,38.714923,116.1
-123.002223,38.714918,116.2
-123.002229,38.714912,116.4
-123.002236,38.714906,116.5
-123.002243,38.714902,116.7
-123.002251,38.714896,116.8
-123.002258,38.71489,117.0
-123.002265,38.714886,117.1
-123.002273,38.71488,117.3
-123.002283,38.714875,117.5
-123.002293,38.714869,117.6
-123.002301,38.714864,117.8
-123.002306,38.714858,117.9
-123.002295,38.714843,118.2
-123.002293,38.714839,118.3
-123.002289,38.714836,118.4
-123.002282,38.714834,118.5
-123.002269,38.714831,118.6
-123.002257,38.714833,118.8
-123.002244,38.714832,119.0
-123.002229,38.714833,119.2
-123.002212,38.714833,119.5
-123.002192,38.714832,119.7
-123.002174,38.714834,120.0
-123.002157,38.714833,120.3
-123.002141,38.714832,120.5
-123.002126,38.714831,120.8
-123.00211,38.714826,121.1
-123.002097,38.714819,121.3
-123.002086,38.714809,121.6
-123.002078,38.714801,121.8
-123.002073,38.714792,122.1
-123.00207,38.714782,122.3
-123.002067,38.714772,122.5
-123.002064,38.714763,122.7
-123.002059,38.714754,122.9
-123.002057,38.714747,123.1
-123.002053,38.714739,123.3
-123.002046,38.714732,123.4
-123.002041,38.714724,123.6
-123.002037,38.714718,123.8
-123.002037,38.714711,123.9
-123.002035,38.714704,124.1
-123.002035,38.714695,124.2
-123.002036,38.714684,124.5
-123.002036,38.714673,124.7
-123.002033,38.714664,124.9
-123.002034,38.714656,125.0
-123.002037,38.714647,125.2
-123.002037,38.714634,125.4
-123.002036,38.714626,125.6
-123.002037,38.714614,125.8
-123.002035,38.714598,126.0
-123.002036,38.714587,126.2
-123.002035,38.714575,126.4
-123.002035,38.714575,126.4
-123.002037,38.714552,126.7
-123.002035,38.714541,126.9
-123.002036,38.714529,127.1
-123.002037,38.714517,127.2
-123.002038,38.714505,127.4
-123.002037,38.714491,127.7
-123.002037,38.714477,127.9
-123.002038,38.714463,128.1
-123.002041,38.714448,128.4
-123.002045,38.714437,128.6
-123.002048,38.714424,128.8
-123.00205,38.714412,129.0
-123.002055,38.714399,129.3
-123.002054,38.714387,129.6
-123.002055,38.71437,130.0
-123.002058,38.714354,130.3
-123.002062,38.714338,130.7
-123.002064,38.714319,131.2
-123.002068,38.714305,131.6
-123.002067,38.714294,131.9
-123.002068,38.714284,132.2
-123.002068,38.714272,132.6
-123.002069,38.714262,132.9
-123.00207,38.714252,133.2
-123.002067,38.714242,133.5
-123.002069,38.714234,133.8
-123.002071,38.714227,134.0
-123.002073,38.714221,134.2
-123.002074,38.714216,134.4
-123.002076,38.714211,134.5
-123.00208,38.714204,134.8
-123.002082,38.714194,135.1
-123.002085,38.714187,135.3
-123.002086,38.714178,135.6
-123.002086,38.714169,135.9
-123.002087,38.714162,136.1
-123.002086,38.714154,136.4
-123.002086,38.714147,136.6
-123.002088,38.714138,136.9
-123.002086,38.71413,137.1
-123.002087,38.714124,137.3
-123.002088,38.714117,137.5
-123.002087,38.714109,137.8
-123.002086,38.714102,138.0
-123.002089,38.714095,138.2
-123.002092,38.714091,138.4
-123.002095,38.714087,138.5
-123.002092,38.71408,138.7
-123.002091,38.714074,138.9
-123.00209,38.714068,139.1
-123.002087,38.714065,139.2
-123.002081,38.714064,139.3
-123.002078,38.714059,139.5
-123.002076,38.714051,139.7
-123.002074,38.714046,139.9
-123.002066,38.714041,140.1
-123.002067,38.714031,140.4
-123.002068,38.71402,140.7
-123.002072,38.714009,141.0
-123.002073,38.714001,141.2
-123.002074,38.713989,141.5
-123.002074,38.713979,141.8
-123.002073,38.713966,142.1
